Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1244 Austevoll;1244;Austevoll;440;348;92;72;20;13,9;12,8;20,7;19,1;29,4
1245 Sund;1245;Sund;796;658;138;58;80;18,4;17,3;26,6;18,8;38,1
1246 Fjell;1246;Fjell;2536;2126;410;209;201;15,9;14,8;25,3;20,9;32,4
1247 Askøy;1247;Askøy;2855;2396;459;231;228;16,1;14,9;27;22,1;34,7
1251 Vaksdal;1251;Vaksdal;459;394;65;28;37;17,9;16,9;29,1;22;38,5
1252 Modalen;1252;Modalen;32; : ; : ; : ; : ;13,7; : ; : ; : ; : 
1253 Osterøy;1253;Osterøy;819;688;131;93;38;16,3;15,1;26,8;24;37,3
1256 Meland;1256;Meland;793;683;110;63;47;16;15,3;23,1;20,7;27,3
1259 Øygarden;1259;Øygarden;600;494;106;36;70;19,5;18,1;29,4;18,9;41,2
1260 Radøy;1260;Radøy;630;536;94;56;38;19;18,4;23,6;18,1;42,2
1263 Lindås;1263;Lindås;1663;1428;235;133;102;17,1;16,1;26,3;22;35,3
1264 Austrheim;1264;Austrheim;321;254;67;47;20;17,3;16,2;23,3;21,4;29,9
1265 Fedje;1265;Fedje;49;45;4; : ; : ;14,6;14,4;17,4; : ; : 
1266 Masfjorden;1266;Masfjorden;122;113;9; : ; : ;11,7;11,4;18,4; : ; : 
1401 Flora;1401;Flora;1320;987;333;108;225;17;14,7;31,9;21,6;41,5
1411 Gulen;1411;Gulen;196;168;28;19;9;13,3;12,7;18,3;16,5;23,7
1412 Solund;1412;Solund;79;64;15; : ; : ;15,1;14,1;22,4; : ; : 
1413 Hyllestad;1413;Hyllestad;112;90;22;13;9;13,2;12,2;19,8;13,8;52,9
1416 Høyanger;1416;Høyanger;467;409;58;20;38;17,7;17,2;22;14,7;29,7
1417 Vik;1417;Vik;187;149;38;30;8;11,4;10,2;21,3;20,3;26,7
1418 Balestrand;1418;Balestrand;117;94;23;11;12;13,7;13,4;15,4;10,8;25,5
1419 Leikanger;1419;Leikanger;153;133;20;11;9;10,7;10;20,2;16,2;29
1420 Sogndal;1420;Sogndal;630;433;197;66;131;12,4;9,6;33,6;20,7;49,1
