kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle
;;;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1811 Bindal;1811;Bindal;11,7;45,8;:;40,6;11
1812 Sømna;1812;Sømna;8,7;:;46,2;31,2;7,7
1813 Brønnøy;1813;Brønnøy;7,8;22,9;37,9;31,6;6,6
1815 Vega;1815;Vega;10;:;:;:;9,8
1816 Vevelstad;1816;Vevelstad;7,3;:;:;:;7,2
1818 Herøy (Nordl.);1818;Herøy (Nordl.);10,9;30,1;36,1;31,9;9,2
1820 Alstahaug;1820;Alstahaug;6,7;20,8;36,6;30,2;5,2
1822 Leirfjord;1822;Leirfjord;11,2;:;56,6;44;9
1824 Vefsn;1824;Vefsn;6;15,9;30,9;24,6;5,2
1825 Grane;1825;Grane;7;:;:;19,3;6,4
